Date,title,Keywords,Good,Bad,Intermediate
2023-06-13,"뉴욕증시, CPI 둔화에 금리동결 전망 강화...장초반 상승세",상승,1,0,0
2023-06-14,하락을 잊었다…테슬라 '역대 최장' 14거래일째 상승세,"상승, 최장, 역대, 하락",0,0,1
2023-06-15,"뉴욕증시, FOMC 소화하며 장초반 상승세...경제지표는 혼조",상승,1,0,0
2023-06-16,"뉴욕증시, 상승 행진 지속…S&P500지수 상승 출발",상승,1,0,0
2023-06-17,미국시장 휴장인데…내 나스닥 ETF 가격은 변하는 이유? [신화!머니?],,0,0,1
2023-06-18,"증권사 ‘신용거래 불가’ 1500종목… 투자자 보호인가, 부당한 낙인인가",,0,0,1
2023-06-19,"삼정KPMG, 원스톱 플랫폼 ‘ESG 링크’ 출시…업계 최초",,0,0,1
2023-06-20,"뉴욕증시, 휴장 후 거래 첫날 하락 출발",하락,0,1,0
2023-06-21,"뉴욕증시, 파월 발언 주시하며 장초반 하락세","하락, 하락세",0,1,0
2023-06-22,"뉴욕증시, 파월 의회 증언 이어지며 상승 출발",상승,1,0,0
2023-06-23,빅테크 예외없다…강경 긴축 공포에 美 증시 또 하락,하락,0,1,0
2023-06-24,챗GPT發 ‘AI 버블’…진짜 수혜주는 이 기업 [자이앤트TV],,0,0,1
2023-06-25,테슬라·엔비디아 ELS 조기상환 '원활',,0,0,1
2023-06-26,"UBS, 모더나 중립→매수 '상향'…목표가 191달러",,0,0,1
2023-06-27,"뉴욕증시, 경제 지표 주시 속에 상승 출발",상승,1,0,0
2023-06-28,"'매파' Fed 파월 ""2연속 금리인상도 배제 안 해...노동시장 강력""",,0,0,1
2023-06-29,"뉴욕증시, GDP 성장률 호조 속에 혼조 출발",,0,0,1
2023-06-30,"사학연금공단, 제20대 송하중 이사장 취임",,0,0,1
2023-07-01,대성홀딩스 86%↓ 서울가스 84%↓…‘SG발 폭락’ 3종목 와르르,폭락,0,1,0
2023-07-02,"하나증""동원F&B 2분기 영업익 11.5%↑""...목표가 4만8000원",,0,0,1
2023-07-03,'최다 인도량' 테슬라 주가 7%↑…'300슬라' 보인다,,0,0,1
2023-07-04,"손정의 회장 ""모든 산업에서 AI 사용될 것""",,0,0,1
2023-07-05,"뉴욕증시, FOMC 의사록 대기하며 장초반 혼조세",,0,0,1
2023-07-06,"뉴욕증시, 강한 민간고용에 하락 출발...국채금리 급등","급등, 하락",0,0,1
2023-07-07,코이카 신임 이사장에 장원삼 씨,,0,0,1
2023-07-08,"“아 옛날이여”…코스닥 시총 10위 밖으로 밀려난 카겜·스튜디오드래곤, 왜?",,0,0,1
2023-07-09,“한국이 중국보다 별로다”…코리아 디스카운트 자초한 ‘주주환원율’,,0,0,1
2023-07-10,"뉴욕증시, 물가·실적 주시하며 상승 출발",상승,1,0,0
2023-07-11,"“싸움 구경이 제일 재밌어”…두 남자 맞대결, 투자자는 누구편? [월가월부]",,0,0,1
2023-07-12,"뉴욕증시, CPI 예상보다 빠른 둔화에 상승 출발",상승,1,0,0
2023-07-13,"뉴욕증시, 인플레 압력 완화에 상승 출발",상승,1,0,0
